inverter_sku,ess_sku,совместимость,ограничения,комментарий
SUN-10K-G06,ATESS-RACK-100,Да,,Поддержка Modbus/TCP
SG20RT,ATESS-CTNR-1200,Да,Только при внешнем PCS ≥500кВт,Для промышленных объектов
